,State,Pop Density,Gun Ownership (Wikipedia),Gun Murders per 100k,Gun Ownership (CBS),Hispanic (of any race),Non-Hispanic White,Non-Hispanic Black,Non-Hispanic Asian,Non-Hispanic American Indian,Poverty Rate,Population Change 2010-2019_x,Population Change 2010-2019_y
0,Alabama,94.65,0.489,2.8,0.555,0.040999999999999995,0.655,0.267,0.013000000000000001,0.005,15.6,0.026000000000000002,0.026000000000000002
1,Alaska,1.264,0.617,2.7,0.645,0.07,0.606,0.028999999999999998,0.066,0.142,10.2,0.03,0.03
2,Arizona,57.05,0.32299999999999995,3.6,0.46299999999999997,0.314,0.547,0.040999999999999995,0.032,0.039,13.5,0.139,0.139
3,Arkansas,56.43,0.579,3.2,0.5720000000000001,0.07400000000000001,0.723,0.152,0.016,0.006,16.0,0.035,0.035
4,California,244.2,0.201,3.4,0.28300000000000003,0.391,0.37,0.055,0.14400000000000002,0.004,11.8,0.061,0.061
5,Colorado,49.33,0.34299999999999997,1.3,0.451,0.215,0.682,0.039,0.031,0.006,9.4,0.145,0.145
6,Connecticut,741.4,0.166,2.7,0.23600000000000002,0.161,0.667,0.099,0.045,0.002,9.9,-0.002,-0.002
7,Delaware,470.7,0.052000000000000005,4.2,0.344,0.09300000000000001,0.622,0.215,0.04,0.002,11.2,0.084,0.084
8,Florida,360.2,0.325,3.4,0.353,0.256,0.5379999999999999,0.154,0.027999999999999997,0.002,12.7,0.142,0.142
9,Georgia,165.0,0.316,3.8,0.49200000000000005,0.096,0.526,0.311,0.039,0.002,13.5,0.096,0.096
10,Hawaii,216.8,0.451,0.5,0.149,0.105,0.218,0.016,0.373,0.001,9.0,0.040999999999999995,0.040999999999999995
11,Idaho,19.5,0.569,0.8,0.601,0.124,0.82,0.006,0.013000000000000001,0.011000000000000001,11.0,0.14,0.14
12,Illinois,231.9,0.262,2.8,0.278,0.172,0.612,0.14,0.054000000000000006,0.001,11.4,-0.012,-0.012
13,Indiana,182.5,0.33799999999999997,2.2,0.44799999999999995,0.069,0.792,0.092,0.022000000000000002,0.001,11.9,0.038,0.038
14,Iowa,54.81,0.33799999999999997,0.7,0.436,0.059000000000000004,0.8590000000000001,0.033,0.026000000000000002,0.002,11.0,0.036000000000000004,0.036000000000000004
15,Kansas,35.09,0.322,2.2,0.489,0.11900000000000001,0.759,0.055,0.028999999999999998,0.006,11.3,0.021,0.021
16,Kentucky,110.0,0.424,2.7,0.546,0.035,0.846,0.08,0.013999999999999999,0.002,16.0,0.03,0.03
17,Louisiana,105.0,0.445,7.7,0.531,0.052000000000000005,0.585,0.321,0.018000000000000002,0.005,18.8,0.025,0.025
